1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41
 ; _|_ ; POINT_VIRGULE ; VIRGULE ; ENTIER ; ID_VAR ; CROCHET_OUVRANT ; NOMBRE ; CROCHET_FERMANT ; ID_FCT ; PARENTHESE_OUVRANTE ; PARENTHESE_FERMANTE ; EGAL ; ACCOLADE_OUVRANTE ; ACCOLADE_FERMANTE ; SI ; ALORS ; SINON ; TANTQUE ; FAIRE ; RETOUR ; ECRIRE ; OU ; ET ; NON ; INFERIEUR ; SUPERIEUR ; PLUS ; MOINS ; FOIS ; DIVISE ; MODULO ; LIRE ; ;;;;;;;
  _programme_  ;-1; X ; X ;-1; X ; X ; X ; X ;-1; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;;;;;;;;
  _optDecVariables_  ;-3; X ; X ;-2; X ; X ; X ; X ;-3; X ; X ; X ;-3; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _listeDecVariables_  ; X ; X ; X ;-4; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _listeDecVariablesBis_  ; X ;-6;-5; X ; X ; X ; X ; X ; X ; X ;-6; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _declarationVariable_  ; X ; X ; X ;-7; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _optTailleTableau_  ; X ;-9;-9; X ; X ;-8; X ; X ; X ; X ;-9; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _listeDecFonctions_  ;-11; X ; X ; X ; X ; X ; X ; X ;-10; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _declarationFonction_  ; X ; X ; X ; X ; X ; X ; X ; X ;-12; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _listeParam_  ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-13; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _optListeDecVariables_  ; X ; X ; X ;-14; X ; X ; X ; X ; X ; X ;-15; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instruction_  ; X ;-23; X ; X ;-16; X ; X ; X ;-20; X ; X ; X ;-17; X ;-18; X ; X ;-19; X ;-21;-22; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionAffect_  ; X ; X ; X ; X ;-24; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionBloc_  ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-25; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _listeInstructions_  ; X ;-26; X ; X ;-26; X ; X ; X ;-26; X ; X ; X ;-26;-27;-26; X ; X ;-26; X ;-26;-26; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionSi_  ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-28; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _optSinon_  ; X ;-30; X ; X ;-30; X ; X ; X ;-30; X ; X ; X ;-30;-30;-30; X ;-29;-30; X ;-30;-30; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionTantque_  ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-31; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionAppel_  ; X ; X ; X ; X ; X ; X ; X ; X ;-32; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionRetour_  ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-33; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionEcriture_  ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-34; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _instructionVide_  ; X ;-35; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _expression_  ; X ; X ; X ; X ;-36; X ;-36; X ;-36;-36; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-36; X ; X ; X ; X ; X ; X ; X ;-36;;;;;;;;
  _expressionBis_  ; X ;-38;-38; X ; X ; X ; X ;-38; X ; X ;-38; X ; X ; X ; X ;-38; X ; X ;-38; X ; X ;-37; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _conjonction_  ; X ; X ; X ; X ;-39; X ;-39; X ;-39;-39; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-39; X ; X ; X ; X ; X ; X ; X ;-39;;;;;;;;
  _conjonctionBis_  ; X ;-41;-41; X ; X ; X ; X ;-41; X ; X ;-41; X ; X ; X ; X ;-41; X ; X ;-41; X ; X ;-41;-40; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _negation_  ; X ; X ; X ; X ;-43; X ;-43; X ;-43;-43; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-42; X ; X ; X ; X ; X ; X ; X ;-43;;;;;;;;
  _comparaison_  ; X ; X ; X ; X ;-44; X ;-44; X ;-44;-44; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-44;;;;;;;;
  _comparaisonBis_  ; X ;-48;-48; X ; X ; X ; X ;-48; X ; X ;-48;-45; X ; X ; X ;-48; X ; X ;-48; X ; X ;-48;-48; X ;-46;-47; X ; X ; X ; X ; X ; X;;;;;;;;
  _expArith_  ; X ; X ; X ; X ;-49; X ;-49; X ;-49;-49; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-49;;;;;;;;
  _expArithBis_  ; X ;-52;-52; X ; X ; X ; X ;-52; X ; X ;-52;-52; X ; X ; X ;-52; X ; X ;-52; X ; X ;-52;-52; X ;-52;-52;-50;-51; X ; X ; X ; X;;;;;;;;
  _terme_  ; X ; X ; X ; X ;-53; X ;-53; X ;-53;-53; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-53;;;;;;;;
  _termeBis_  ; X ;-57;-57; X ; X ; X ; X ;-57; X ; X ;-57;-57; X ; X ; X ;-57; X ; X ;-57; X ; X ;-57;-57; X ;-57;-57;-57;-57;-54;-55;-56; X;;;;;;;;
  _facteur_  ; X ; X ; X ; X ;-61; X ;-59; X ;-60;-58; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-62;;;;;;;;
  _var_  ; X ; X ; X ; X ;-63; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _optIndice_  ; X ;-65;-65; X ; X ;-64; X ;-65; X ; X ;-65;-65; X ; X ; X ;-65; X ; X ;-65; X ; X ;-65;-65; X ;-65;-65;-65;-65;-65;-65;-65; X;;;;;;;;
  _appelFct_  ; X ; X ; X ; X ; X ; X ; X ; X ;-66; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
  _listeExpressions_  ; X ; X ; X ; X ;-67; X ;-67; X ;-67;-67;-68; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ;-67; X ; X ; X ; X ; X ; X ; X ;-67;;;;;;;;
  _listeExpressionsBis_  ; X ; X ;-69; X ; X ; X ; X ; X ; X ; X ;-70; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X ; X;;;;;;;;
